date,search_index
2010-01,93
2010-02,75
2010-03,88
2010-04,84
2010-05,85
2010-06,68
2010-07,80
2010-08,84
2010-09,77
2010-10,79
2010-11,72
2010-12,67
2011-01,85
2011-02,70
2011-03,69
2011-04,67
2011-05,67
2011-06,64
2011-07,68
2011-08,70
2011-09,66
2011-10,64
2011-11,68
2011-12,62
2012-01,71
2012-02,66
2012-03,59
2012-04,60
2012-05,61
2012-06,61
2012-07,66
2012-08,63
2012-09,64
2012-10,64
2012-11,62
2012-12,52
2013-01,71
2013-02,52
2013-03,56
2013-04,55
2013-05,54
2013-06,56
2013-07,60
2013-08,56
2013-09,56
2013-10,60
2013-11,60
2013-12,54
2014-01,69
2014-02,59
2014-03,58
2014-04,54
2014-05,64
2014-06,53
2014-07,56
2014-08,54
2014-09,56
2014-10,55
2014-11,52
2014-12,53
2015-01,67
2015-02,55
2015-03,57
2015-04,57
2015-05,53
2015-06,53
2015-07,58
2015-08,57
2015-09,53
2015-10,56
2015-11,57
2015-12,57
2016-01,67
2016-02,54
2016-03,58
2016-04,51
2016-05,55
2016-06,55
2016-07,58
2016-08,57
2016-09,58
2016-10,61
2016-11,61
2016-12,53
2017-01,75
2017-02,63
2017-03,62
2017-04,59
2017-05,61
2017-06,60
2017-07,65
2017-08,62
2017-09,62
2017-10,70
2017-11,71
2017-12,62
2018-01,73
2018-02,63
2018-03,70
2018-04,62
2018-05,59
2018-06,58
2018-07,64
2018-08,65
2018-09,62
2018-10,59
2018-11,59
2018-12,58
2019-01,73
2019-02,67
2019-03,63
2019-04,61
2019-05,58
2019-06,59
2019-07,63
2019-08,61
2019-09,64
2019-10,60
2019-11,66
2019-12,63
2020-01,84
2020-02,93
2020-03,100
2020-04,24
2020-05,33
2020-06,40
2020-07,39
2020-08,28
2020-09,33
2020-10,33
2020-11,26
2020-12,23
2021-01,26
2021-02,21
2021-03,27
2021-04,27
2021-05,28
2021-06,26
2021-07,26
2021-08,24
2021-09,26
2021-10,32
2021-11,35
2021-12,29
2022-01,47
2022-02,55
2022-03,67
2022-04,68
2022-05,64
2022-06,66
2022-07,60
2022-08,62
2022-09,56
2022-10,57
2022-11,53
2022-12,53
2023-01,63
2023-02,58
2023-03,54
2023-04,59
2023-05,55
2023-06,52
2023-07,53
2023-08,56
2023-09,55
2023-10,61
2023-11,56
2023-12,57
