date,arrivals,search_trends
2010-01,416249,93
2010-02,446323,75
2010-03,473509,88
2010-04,432608,84
2010-05,350982,85
2010-06,375707,68
2010-07,410000,80
2010-08,427935,84
2010-09,383463,77
2010-10,440071,79
2010-11,428295,72
2010-12,449570,67
2011-01,506424,85
2011-02,529315,70
2011-03,475733,69
2011-04,460000,67
2011-05,480886,67
2011-06,446966,64
2011-07,460000,68
2011-08,552234,70
2011-09,286618,66
2011-10,518477,64
2011-11,611864,68
2011-12,593408,62
2012-01,630000,71
2012-02,681849,66
2012-03,561877,59
2012-04,620000,60
2012-05,615523,61
2012-06,417429,61
2012-07,466000,66
2012-08,525292,63
2012-09,460238,64
2012-10,495576,64
2012-11,655701,62
2012-12,614673,52
2013-01,651812,71
2013-02,570476,52
2013-03,587366,56
2013-04,613919,55
2013-05,558751,54
2013-06,567291,56
2013-07,658325,60
2013-08,676719,56
2013-09,614827,56
2013-10,628695,60
2013-11,731034,60
2013-12,722349,54
2014-01,776174,69
2014-02,842026,59
2014-03,709725,58
2014-04,745980,54
2014-05,674204,64
2014-06,539776,53
2014-07,564736,56
2014-08,618588,54
2014-09,590881,56
2014-10,559002,55
2014-11,608617,52
2014-12,657304,53
2015-01,700692,67
2015-02,756000,55
2015-03,617895,57
2015-04,690440,57
2015-05,576868,53
2015-06,529445,53
2015-07,593566,58
2015-08,664985,57
2015-09,626324,53
2015-10,649099,56
2015-11,732740,57
2015-12,760798,57
2016-01,815200,67
2016-02,843726,54
2016-03,830608,58
2016-04,799612,51
2016-05,767373,55
2016-06,710574,55
2016-07,856438,58
2016-08,909866,57
2016-09,823135,58
2016-10,822145,61
2016-11,936779,61
2016-12,897279,53
2017-01,1007238,75
2017-02,1199421,63
2017-03,1005821,62
2017-04,1071650,59
2017-05,972844,61
2017-06,949362,60
2017-07,1036880,65
2017-08,1229163,62
2017-09,975952,62
2017-10,1024899,70
2017-11,1172568,71
2017-12,1276353,62
2018-01,1430242,73
2018-02,1431845,63
2018-03,1343314,70
2018-04,1341913,62
2018-05,1161114,59
2018-06,1183102,58
2018-07,1188817,64
2018-08,1323546,65
2018-09,1212597,62
2018-10,1205157,59
2018-11,1301909,59
2018-12,1374235,58
2019-01,1501766,73
2019-02,1588161,67
2019-03,1410187,63
2019-04,1468766,61
2019-05,1326668,58
2019-06,1185445,59
2019-07,1315792,63
2019-08,1512447,61
2019-09,1561274,64
2019-10,1618337,60
2019-11,1809580,66
2019-12,1710168,63
2020-01,1994125,84
2020-02,1242731,93
2020-03,449923,100
2020-04,0,24
2020-05,0,33
2020-06,0,40
2020-07,0,39
2020-08,0,28
2020-09,0,33
2020-10,0,33
2020-11,0,26
2020-12,0,23
2021-01,0,26
2021-02,0,21
2021-03,0,27
2021-04,0,27
2021-05,0,28
2021-06,0,26
2021-07,0,26
2021-08,0,24
2021-09,0,26
2021-10,0,32
2021-11,400,35
2021-12,3100,29
2022-01,19727,47
2022-02,29517,55
2022-03,41740,67
2022-04,101373,68
2022-05,172948,64
2022-06,236677,66
2022-07,352579,60
2022-08,486407,62
2022-09,431909,56
2022-10,484355,57
2022-11,596919,53
2022-12,707071,53
2023-01,871162,63
2023-02,932969,58
2023-03,895425,54
2023-04,984146,59
2023-05,916257,55
2023-06,975010,52
2023-07,1038563,53
2023-08,1217421,56
2023-09,1054449,55
2023-10,1112526,61
2023-11,1233371,56
2023-12,1371135,57
