date,arrivals
2010-01,416249
2010-02,446323
2010-03,473509
2010-04,432608
2010-05,350982
2010-06,375707
2010-07,410000
2010-08,427935
2010-09,383463
2010-10,440071
2010-11,428295
2010-12,449570
2011-01,506424
2011-02,529315
2011-03,475733
2011-04,460000
2011-05,480886
2011-06,446966
2011-07,460000
2011-08,552234
2011-09,286618
2011-10,518477
2011-11,611864
2011-12,593408
2012-01,630000
2012-02,681849
2012-03,561877
2012-04,620000
2012-05,615523
2012-06,417429
2012-07,466000
2012-08,525292
2012-09,460238
2012-10,495576
2012-11,655701
2012-12,614673
2013-01,651812
2013-02,570476
2013-03,587366
2013-04,613919
2013-05,558751
2013-06,567291
2013-07,658325
2013-08,676719
2013-09,614827
2013-10,628695
2013-11,731034
2013-12,722349
2014-01,776174
2014-02,842026
2014-03,709725
2014-04,745980
2014-05,674204
2014-06,539776
2014-07,564736
2014-08,618588
2014-09,590881
2014-10,559002
2014-11,608617
2014-12,657304
2015-01,700692
2015-02,756000
2015-03,617895
2015-04,690440
2015-05,576868
2015-06,529445
2015-07,593566
2015-08,664985
2015-09,626324
2015-10,649099
2015-11,732740
2015-12,760798
2016-01,815200
2016-02,843726
2016-03,830608
2016-04,799612
2016-05,767373
2016-06,710574
2016-07,856438
2016-08,909866
2016-09,823135
2016-10,822145
2016-11,936779
2016-12,897279
2017-01,1007238
2017-02,1199421
2017-03,1005821
2017-04,1071650
2017-05,972844
2017-06,949362
2017-07,1036880
2017-08,1229163
2017-09,975952
2017-10,1024899
2017-11,1172568
2017-12,1276353
2018-01,1430242
2018-02,1431845
2018-03,1343314
2018-04,1341913
2018-05,1161114
2018-06,1183102
2018-07,1188817
2018-08,1323546
2018-09,1212597
2018-10,1205157
2018-11,1301909
2018-12,1374235
2019-01,1501766
2019-02,1588161
2019-03,1410187
2019-04,1468766
2019-05,1326668
2019-06,1185445
2019-07,1315792
2019-08,1512447
2019-09,1561274
2019-10,1618337
2019-11,1809580
2019-12,1710168
2020-01,1994125
2020-02,1242731
2020-03,449923
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,400
2021-12,3100
2022-01,19727
2022-02,29517
2022-03,41740
2022-04,101373
2022-05,172948
2022-06,236677
2022-07,352579
2022-08,486407
2022-09,431909
2022-10,484355
2022-11,596919
2022-12,707071
2023-01,871162
2023-02,932969
2023-03,895425
2023-04,984146
2023-05,916257
2023-06,975010
2023-07,1038563
2023-08,1217421
2023-09,1054449
2023-10,1112526
2023-11,1233371
2023-12,1371135
